_id,available,cpu_usage,heap_used,memory_used,non_heap_used,time,time_response_get,time_response_post
627cefdbf7301dd01a1e36b2,1,0,0,0,0,1652355035.90202,0,0
627cefe7f7301dd01a1e36b3,1,0,0,0,0,1652355047.884273,0,0
628f5f6b52016e4226c5a3da,1,0,0,0,0,1653563243.125739,0,0
628f5ffd9dc9c74e6963bf69,1,0,0,0,0,1653563389.922326,0,0
628f60089dc9c74e6963bf6a,1,0,0,0,0,1653563400.056688,0,0
628f60129dc9c74e6963bf6b,1,0,0,0,0,1653563410.1577,0,0
628f60b686229988b5d9e64b,1,0.12531659115114946,1.5451935256134173,2.9182560544339173,7.959649819010807,1653563574.437,0.06284450641935464,0.06842215333333333
628f60c086229988b5d9e64c,1,0.16356957756661283,1.089061567012402,2.5712651581264905,8.013385808301848,1653563584.55,0.08103524405882342,0.06753349611538438
628f60ca86229988b5d9e64d,1,0.21470226461903194,1.5906828213468232,2.947986775092797,7.931520696835305,1653563594.668,0.059702409452830216,0.07033464400000014
628f60d486229988b5d9e64e,1,0.20267667349663518,1.54160949347543,2.9105830894742435,7.936963757416174,1653563604.756,0.06934820396078412,0.06753123278688505
628f60de86229988b5d9e64f,1,0.23787110881075313,1.5949458618449708,2.9525584703926984,7.937225662004793,1653563614.856,0.07709025759322034,0.0686847544912282
628f60e886229988b5d9e650,1,0.24732619306123305,1.241964635442895,2.675259838474783,7.937806406962165,1653563624.949,0.062033450885245964,0.06907925131944441
628f60f386229988b5d9e651,1,0.29531999779522344,1.0415608325826253,2.529303640524783,7.991762310703977,1653563635.036,0.06471861063095237,0.07191337877272709
628f60fd86229988b5d9e652,1,0.321987543240722,1.4507968258328539,2.8401390067533976,7.9413058223486885,1653563645.14,0.06149178942352913,0.06934881629347824
628f610786229988b5d9e653,1,0.37393249614355784,1.10276617708379,2.56676536926071,7.942045987490439,1653563655.239,0.07256210920618562,0.07190739560439571
628f611186229988b5d9e654,1,0.39506979726089453,1.6734425622629163,3.016247004565481,7.946543914121072,1653563665.336,0.05993559582978733,0.07087417243678175
628f611b86229988b5d9e655,1,0.42037986345226963,1.1810275603024105,2.6294199437547148,7.947397950823092,1653563675.438,0.05985674255660375,0.07167516998924717
628f612586229988b5d9e656,1,0.45247531018296305,1.603876285244719,2.9958627492451417,8.106738425107801,1653563685.55,0.06649239902752296,0.0725969355813954
628f612f86229988b5d9e657,1,0.5011937791933385,1.668591034930213,3.035851105544429,8.055940322071706,1653563695.653,0.06315948362142863,0.07473478038317777
628f613986229988b5d9e658,1,0.45362224740864304,1.0757523828772764,2.5591109902861273,8.00547244656039,1653563705.745,0.06356407608547013,0.07573069424793391
628f614386229988b5d9e659,1,0.5175622482085935,1.191459826914983,2.639201046924927,7.954788215084563,1653563715.821,0.06591310444444438,0.07503942408527124
628f614d86229988b5d9e65a,1,0.6072563833310098,1.2078911314203928,2.6531729850448205,7.959730240800248,1653563725.923,0.06401491586075929,0.07919201237671257
628f615886229988b5d9e65b,1,0.6470625857201953,1.680162089471973,3.02458723685874,7.960834794934859,1653563736.026,0.06440635752500015,0.07861531546451597
628f616286229988b5d9e65c,1,0.628128726150164,1.1364072324475656,2.597295439622632,7.961153635303613,1653563746.131,0.07056503855063286,0.07986234143292674
628f616c86229988b5d9e65d,1,0.6500468517274907,1.4553849297109585,2.847993565928056,7.961153635303613,1653563756.264,0.06900284819277121,0.08074284499408287
628f617686229988b5d9e65e,1,0.6359865079268467,1.5217862485491096,2.900212871514311,7.961301668331963,1653563766.384,0.06632047873124983,0.07960546569230756
628f618086229988b5d9e65f,1,0.6606600885185057,1.3840469894293106,2.7936786143507506,7.969341000486969,1653563776.495,0.0677840405769233,0.08061026123125004
